No.,lang1,lang2,cog,,Bats,Chechen,Ingush,Avar,Russian,Kazakh,Tajik,Tsakhur,Gloss,Hurrian,Urartian
59,зезаг,зиза,1,,бубукІ,зезаг,зиза,тӀегь,цветок,гүл,гул,тІетІ,flower,,
60,буц,буц,1,,да̄жар,буц,буц,хер,трава,от,сабза,окӀ,grass,,
61,тӀийриг,муш,0,,токI,тӀийриг,муш,квар,верёвка,жіп,арғамчин,туІ,rope,,
62,чӀор,цIока,0,,кхакха,чӀор,цIока,тӀом,кожа,тері,пӯст,къека,skin,,
63,дилх,дулх,1,,дитх,дилх,дулх,гьан,мясо,ет,гӯшт,чура,meat,узи,хушу
64,цӀий,цIий,1,,цIиг,цӀий,цIий,би,кровь,қан,хун,еб,blood,,
65,даьӀахк,тIехк,0,,дзол,даьӀахк,тIехк,ракьа,кость,сүйек,устухон,баркӀ,bone,,
66,мохь,мухь,1,,ко,мохь,мухь,кьаралъи,жир,май,чарб,маъа,fat (noun),,
67,хӀоъ,фуъ,x,,гага,хӀоъ,фуъ,хоно,яйцо,жұмыртқа,тухм,гъугъ,egg,,
68,мӀаӀ,муIа,1,,мIаъ,мӀаӀ,муIа,лълъар,рог,мүйіз,шох,гач,horn,,
69,цӀога,цIог,1,,мугI,цӀога,цIог,рачӀ,хвост,құйрық,дум,биӀтй,tail,,
70,пелаг,бедарг,0,,бумбул,пелаг,бедарг,хӀули,перо,жүн,пар,кукра,feather,,
71,мас,мос,1,,бедж,мас,мос,рас,волос,шаш,мӯй,чӀар,hair,,
72,корта,корт,1,,корт,корта,корт,бетӀер,голова,бас,сар,калле,head,,
73,лерг,лерг,1,,ларкI,лерг,лерг,гӀин,ухо,құлақ,гӯш,кӀири,ear,,
74,бӀаьрг,бIарг,1,,бIаркI,бӀаьрг,бIарг,бер,глаз,көз,чашм,ул,eye,,
75,мара,мераж,1,,марлъ,мара,мераж,мегӀер,нос,мұрын,бинӣ,хъов,nose,,
76,бага,баге,1,,бак,бага,баге,кӀал,рот,ауыз,даҳон,гІалʼ,mouth,,
77,церг,царг,1,,царкI,церг,царг,гӀус,зуб,тіс,дандон,сили,tooth,,
78,мотт,мотт,1,,мотIтI,мотт,мотт,мацӀ,язык,тіл,забон,миз,tongue (organ),,
79,маӀар,мIара,1,,мIайр,маӀар,мIара,малъ,ноготь,тырнақ,нохун,хьубана,fingernail,,
80,кӀаж,лаьпа,0,,тІерп,кӀаж,лаьпа,хӀетӀе,стопа,аяқ,пой,мыкІли,foot,ури ,кури 
81,ког,ког,1,,кокI,ког,ког,хӀетӀе,нога,аяқ,линг,гъел,leg,,
82,гол,го,1,,гоуг,гол,го,наку,колено,тізе,зону,кьараца,knee,,
83,куьг,кулг,x,,тІотІ,куьг,кулг,хъат,рука,қол,даст,патак,hand,шу,шу
84,тӀам,ткъам,1,,пIІа̄н,тӀам,ткъам,кваркьи,крыло,қанат,бол,къанат,wing,,
85,гай,гийг,1,,гагаъ,гай,гийг,чехь,живот,қарын,шикам,вухун,belly,,
86,чуьйраш,че,x,,айхь,чуьйраш,че,бакькӀач,кишки,ішек,рӯда,ичІапат,guts,,
87,ворт,фоарт,1,,сакIер,ворт,фоарт,габур,шея,мойын,гардан,гардан,neck,,
88,букъ,букъ,1,,сукІи,букъ,букъ,мугъ,спина,арқа,пушт,йыІкь,back,,
89,накха,накха,1,,тIа̄р,накха,накха,керен,грудь,кеуде,сина,муху,breast,,
90,дог,дог,1,,докI,дог,дог,ракӀ,сердце,жүрек,дил,йикӀ,heart,тиша,тиш
91,доӀах,дийхк,x,,дIеъ,доӀах,дийхк,тӀул,печень,бауыр,ҷигар,кІыпʼкІам,liver,,
92,мала,мал,1,,ме̄лъа,мала,мал,гьекъезе,пить,ішу,нӯшидан,илʼогъас,to drink,,
93,даа,даа,1,,да̄къа,даа,даа,кваназе,есть,жеу,хӯрдан,охьанас,to eat,,
94,цеста,царгашетт,x,,царкІйалъа,цеста,царгашетт,хӀанчӀизе,кусать,тістеу,газидан,аьцайаънас,to bite,,
95,цӀубда,Iувда,0,,дакха,цӀубда,Iувда,цӀункӀизе,сосать,ему,макидан,гехъас,to suck,,
96,туйкхосса,тугашкхувса,x,,туйкхетта,туйкхосса,тугашкхувса,тузе,плевать,түкіру,туф,тю,to spit,,
97,Ӏетто,Iеттаде,1,,докІре̄вадалар,Ӏетто,Iеттаде,лагӀизе,рвать,құсу,қай,гьапяуй,to vomit,,
98,хӀупбаха,хьекха,x,,пуа̄лъар,хӀупбаха,хьекха,пузе,дуть,үру,пуф,цораас,to blow,,
99,садеӀа,садаха,1,,сунткада,садеӀа,садаха,хӀухьелцӀазе,дышать,дем,нафас,нафас,to breathe,,
100,дела,дела,1,,де̄ла,дела,дела,велъизе,смеяться,күлу,хандидан,аьлкьана,to laugh,,
101,га,бIаргаго,0,,дага,га,бIаргаго,бихьизе,видеть,көру,дидан,къаджес,to see,,
102,хаза,хаза,1,,хацІа,хаза,хаза,рагӀизе,слышать,есту,шунидан,гъажхес,to hear,хаш,хаш
103,хаа,ха,1,,хаъа,хаа,ха,лъазе,знать,білу,донистан,ацІахьес,to know,,
104,ойлайа,уйлае,x,,дакІлавар,ойлайа,уйлае,пикругьабизе,думать,ойлау,андешидан,фикир,to think,,
105,хьожйаяха,хьажкхета,x,,хьейчІйа̄лъа,хьожйаяха,хьажкхета,сунтӀизе,нюхать,иіскеу,бӯй,эва,to smell,,
106,кхера,кхера,1,,ге̄зол,кхера,кхера,хӀинкъизе,бояться,қорқу,тарсидан,хъаІркьыний,to fear,,
107,набйа,набе,1,,то̄хьа,набйа,набе,кьижизе,спать,ұйықтау,хобидан,къапихьас,to sleep,,
108,даха,даха,1,,динхилъа,даха,даха,гӀумругьабизе,жить,жасау,зистан,ешемишхьес,to live,,
109,дала,ле,x,,дала,дала,ле,хвезе,умирать,өлу,мурдан,хъикІас,to die,,
110,вен,ве,1,,дІева,вен,ве,чӀвазе,убивать,өлтіру,куштан,гикІас,to kill,,
111,лата,лата,1,,бухьба,лата,лата,къеркьезе,бороться,соғысу,ҷангидан,сачахарас,to fight,,
112,талла,тIакхе,x,,не̄йдребадала,талла,тIакхе,чанадизе,охотиться,аулау,шикор,кьонахъя,to hunt,,
113,тоха,тоха,1,,те̄пха,тоха,тоха,кьабизе,ударять,ұру,задан,эхаІс,to hit,,
114,хадо,теда,0,,титІа,хадо,теда,къотӀизе,резать,кесу,бурридан,гатхас,to cut,,
115,декъа,декъа,1,,дахькъе̄га,декъа,декъа,бикьизе,разделять,жару,шикофтан,хъахас,to split,,
116,,Ӏотта,x,,Iотта,,Ӏотта,,колоть,сұғу,корд,аьрхюс,to stab,,
117,арсдан,секашдаха,x,,дахе̄хадар,арсдан,секашдаха,хъарсизе,царапать,тырнау,ханҷол,,to scratch,,
118,ахка,ахка,1,,ахкІа,ахка,ахка,бухъизе,копать,қазу,кофтан,аликӀарас,to dig,,
119,некада,наькде,1,,цуладала,некада,наькде,лъимххазе,плавать,жүзу,шино,гьуІзмишхьес,to swim,,
120,тӀемадала,гIетта,0,,гапре̄надала,тӀемадала,гIетта,боржине,летать,ұшу,паридан,апихас,to fly,,
121,лела,лела,1,,иха,лела,лела,вилъанхъизе,ходить,бару,гаштан,хохарас,to walk,ушш,уш
122,ва,ва,1,,даъа,ва,ва,вачӀине,приходить,келу,омадан,айрес,to come,ун,нуна
123,Ӏилла,алла,1,,чудиша,Ӏилла,алла,вегизе,лежать,жату,дароз,къалихьас,to lie (as in a bed),,
124,хиъна1а,вагIа,x,,чуха̄ъа,хиъна1а,вагIа,гӀодовчӀезе,сидеть,отыру,нишастан,гюурас,to sit,,
125,латта,латта,1,,ла̄тта,латта,латта,вахъунчӀезе,стоять,тұру,истодан,ипеззарас,to stand,,
126,хьийзда,кхастра,0,,го̄гихде̄рцІа,хьийзда,кхастра,сверизе,вращать,бұру,чархидан,аликІарас,to turn (intransitive),,
127,дожа,тIадала,0,,ахьдо̄жа,дожа,тIадала,гӀодовккезе,падать,жауу,афтодан,къаайхьас,to fall,,
128,дала,,x,,далъа,дала,,кьезе,давать,беру,додан,гьепес,to give,ар,ар
129,латто,лацца,1,,дІе̄пІда,латто,лацца,кквезе,держать,тұту,гирифтан,акъас,to hold,,
130,Ӏовда,,x,,дахьхьачІкъа,Ӏовда,,дандекъазе,сжимать,қысу,фишор,къичІокварас,to squeeze,,
131,хьекха,,x,,дахьцІамда,хьекха,,бацӀине,тереть,ысқылау,молидан,гьакалаас,to rub,,
132,дила,,x,,дилда,дила,,чуризе,мыть,жуу,шустан,гьогъалас,to wash,,
133,дӀахьакха,,x,,дахьцІамда,дӀахьакха,,бацӀине,вытирать,сүрту,пок,гьакалаас,to wipe,,
134,озада,,x,,дахьоцІа,озада,,цӀазе,тянуть,тарту,кашидан,цІыцІаас,to pull,,
135,татта,,x,,кодалъа,татта,,цузе,толкать,итеру,тела,басмиш,to push,,
136,кхосса,,x,,лакда,кхосса,,рехизе,бросать,тастау,партофтан,ахас,to throw,,
137,дехка,де,x,,дахьдоцІа,дехка,де,хьухьине,вязать,байлау,бастан,айтІалас,to tie,,
138,тега,тега,1,,аба,тега,тега,букъизе,шить,тігу,дӯхтан,ихьвас,to sew,,
139,дагарда,,x,,де̄кІарда,дагарда,,рикӀкӀине,считать,санау,шумурдан,галтгас,to count,,
140,ала,ала,1,,а̄лъа,ала,ала,бицине,говорить,айту,гуфтан,ехес,to say,хил,ти
